IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.63.106,4,4,0.00,153.80,0.00
104.18.50.235,4,4,0.00,157.31,0.00
104.18.48.90,4,4,0.00,158.62,0.00
104.19.137.182,4,4,0.00,158.75,0.00
104.19.245.110,4,4,0.00,159.16,0.00
104.19.140.249,4,4,0.00,159.62,0.00
104.18.124.67,4,4,0.00,159.97,0.00
104.18.122.99,4,4,0.00,160.00,0.00
104.18.121.32,4,4,0.00,161.38,0.00
104.18.16.126,4,4,0.00,162.05,0.00
104.19.130.97,4,4,0.00,162.46,0.00
104.19.243.233,4,4,0.00,162.99,0.00
104.16.116.204,4,4,0.00,166.66,0.00
104.19.64.33,4,4,0.00,169.04,0.00
104.16.123.185,4,4,0.00,173.23,0.00
104.19.72.180,4,4,0.00,186.07,0.00
104.21.218.192,4,4,0.00,187.52,0.00
104.21.221.127,4,4,0.00,189.58,0.00
104.21.223.228,4,4,0.00,189.98,0.00
104.21.44.249,4,4,0.00,190.64,0.00
104.21.59.164,4,4,0.00,192.18,0.00
104.18.51.112,4,4,0.00,192.48,0.00
104.21.122.13,4,4,0.00,192.90,0.00
104.21.22.183,4,4,0.00,193.39,0.00
104.21.198.200,4,4,0.00,193.87,0.00
104.21.222.6,4,4,0.00,193.91,0.00
104.21.105.248,4,4,0.00,194.24,0.00
104.21.4.245,4,4,0.00,194.39,0.00
104.21.39.122,4,4,0.00,194.48,0.00
104.21.118.217,4,4,0.00,194.59,0.00
104.21.203.68,4,4,0.00,195.52,0.00
104.21.117.82,4,4,0.00,195.61,0.00
104.21.27.68,4,4,0.00,195.70,0.00
104.21.207.230,4,4,0.00,196.05,0.00
104.21.11.92,4,4,0.00,196.23,0.00
104.21.204.141,4,4,0.00,196.63,0.00
104.21.120.201,4,4,0.00,196.76,0.00
104.21.206.99,4,4,0.00,196.83,0.00
104.21.40.218,4,4,0.00,197.01,0.00
104.21.69.83,4,4,0.00,197.11,0.00
104.21.116.28,4,4,0.00,197.13,0.00
104.21.214.245,4,4,0.00,198.19,0.00
104.21.18.97,4,4,0.00,198.50,0.00
104.21.199.242,4,4,0.00,198.50,0.00
104.21.43.4,4,4,0.00,198.55,0.00
104.21.200.7,4,4,0.00,198.56,0.00
104.21.121.147,4,4,0.00,198.72,0.00
104.21.42.98,4,4,0.00,198.74,0.00
104.21.201.9,4,4,0.00,199.36,0.00
104.21.91.226,4,4,0.00,199.88,0.00
104.21.215.248,4,4,0.00,200.60,0.00
104.21.38.42,4,4,0.00,200.94,0.00
104.21.115.26,4,4,0.00,201.04,0.00
104.21.202.44,4,4,0.00,201.66,0.00
104.21.93.23,4,4,0.00,201.77,0.00
104.21.192.57,4,4,0.00,202.04,0.00
104.21.37.9,4,4,0.00,202.37,0.00
104.21.79.6,4,4,0.00,204.22,0.00
104.21.119.184,4,4,0.00,204.27,0.00
104.21.196.210,4,4,0.00,205.23,0.00
104.21.48.48,4,4,0.00,205.29,0.00
104.21.197.172,4,4,0.00,206.07,0.00
104.21.96.184,4,4,0.00,206.14,0.00
104.24.193.209,4,4,0.00,210.01,0.00
104.22.66.53,4,4,0.00,210.50,0.00
104.27.100.2,4,4,0.00,211.53,0.00
104.26.4.56,4,4,0.00,211.64,0.00
104.27.202.63,4,4,0.00,212.19,0.00
104.22.31.254,4,4,0.00,212.46,0.00
104.23.99.223,4,4,0.00,212.50,0.00
104.25.82.83,4,4,0.00,212.79,0.00
104.19.126.111,4,4,0.00,212.91,0.00
104.25.226.174,4,4,0.00,213.00,0.00
104.24.69.197,4,4,0.00,213.67,0.00
104.23.105.211,4,4,0.00,213.85,0.00
104.20.9.19,4,4,0.00,214.17,0.00
104.24.19.232,4,4,0.00,214.30,0.00
104.24.36.154,4,4,0.00,214.55,0.00
104.25.168.160,4,4,0.00,214.58,0.00
104.20.18.191,4,4,0.00,214.64,0.00
104.25.70.135,4,4,0.00,214.65,0.00
104.24.3.58,4,4,0.00,215.02,0.00
104.25.12.86,4,4,0.00,215.04,0.00
104.25.132.155,4,4,0.00,215.53,0.00
104.22.36.77,4,4,0.00,215.65,0.00
104.24.88.136,4,4,0.00,215.67,0.00
104.27.109.14,4,4,0.00,215.78,0.00
104.20.138.9,4,4,0.00,215.87,0.00
104.20.103.91,4,4,0.00,216.04,0.00
104.20.206.184,4,4,0.00,216.05,0.00
104.20.134.136,4,4,0.00,216.20,0.00
104.27.38.31,4,4,0.00,216.39,0.00
104.27.127.72,4,4,0.00,216.42,0.00
104.20.146.135,4,4,0.00,216.48,0.00
